Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
49167,60,1,0,0,0,0.0,0.0,6,6,6.0,0.0,100000.0,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,16666.66667,16666.66667,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
80,325222,3,26,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,35750.96396,24.59858189,46460.28571,116349.0138,310065,103,14457,7228.5,9630.087253,14038,419,325031,81257.75,152682.3319,310065,197,72,112,9.224468209,15.37411368,0,7300,1291.888889,2460.652985,6054813.111,0,1,0,1453.375,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
443,115890239,54,5120,517,0,94.81481481,185.8185435,2896,0,1281.218182,959.4718781,652.2292184,0.940545131,1073057.769,3035691.366,10000000,0,116000000,2186164.377,4071165.486,10000000,3,116000000,2145680.5,4045448.808,10000000,2,1736,1768,0.465958138,0.474586993,0,2896,687.1545455,910.5436141,829089.6731,0,1,0,693.4587156,5120,29200,1274,12,32,509797.4545,5370169,23532,10000000.0,10000000,10000000,Normal Traffic
80,116147442,11,354,354,0,32.18181818,106.735016,4344,0,1932.5,1754.831473,102.8778576,0.146365686,7259215.125,25000000.0,100000000,1,116000000,11600000.0,31500000.0,100000000,1,146602,29320.4,59997.22138,136373,16,368,200,0.094707208,0.051658477,0,4344,663.8333333,1328.370884,1764569.206,0,0,1,702.8823529,354,274,235,1,32,2063.0,2063,2063,58000000.0,100000000,16000000,DoS
53,31512,2,82,41,41,41.0,0.0,88,88,88.0,0.0,8187.357197,126.9357705,10504.0,18151.90703,31464,1,1,1.0,0.0,1,1,47,47.0,0.0,47,47,40,40,63.46788525,63.46788525,41,88,59.8,25.7429602,662.7,0,0,0,74.75,82,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,61700,2,54,27,27,27.0,0.0,75,75,75.0,0.0,3306.3209076175,64.829821718,20566.6666666667,35616.449434683,61693,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,64,80,32.414910859,32.414910859,27,75,46.2,26.2906827602,691.2,0,0,0,57.75,54,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,1083230,3,26,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,10739.1782,7.385319831,154747.1429,408863.8079,1081963,7,888,444.0,296.9848481,654,234,1083183,270795.75,540778.3464,1081963,7,72,112,2.769494936,4.615824894,0,5840,1292.555556,2554.159212,6523729.278,0,1,0,1454.125,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
443,4615395,4,92,46,0,23.0,26.55811238,46,0,30.75,21.68524844,46.58322852,1.733329433,659342.1429,1725045.173,4571306,1,4615394,1538464.667,2626517.642,4571306,21938,4593460,1531153.333,2652018.913,4593441,3,128,128,0.866664717,0.866664717,0,46,29.0,22.28227996,496.5,0,0,1,32.625,92,328,122,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,32740,1,45,45,45,45.0,0.0,101,101,101.0,0.0,4459.376909,61.08735492,32740.0,0.0,32740,32740,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,30.54367746,30.54367746,45,101,63.66666667,32.33161507,1045.333333,0,0,0,95.5,45,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,31498,2,68,34,34,34.0,0.0,75,75,75.0,0.0,6921.074354,126.99219,10499.33333,18181.9147,31494,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,80,64,63.49609499,63.49609499,34,75,50.4,22.45662486,504.3,0,0,0,63.0,68,-1,-1,1,40,0.0,0,0,0.0,0,0,Normal Traffic
443,5231885,7,342,228,0,48.85714286,81.88697204,85,2,30.4,37.04456775,94.42103563,2.293628396,475625.9091,1475327.779,4921736,3,5231885,871980.8333,1996407.006,4945701,3,286152,71538.0,84030.00909,165805,3,152,104,1.337949898,0.955678498,0,228,38.0,63.42975117,4023.333333,0,1,0,41.16666667,342,8192,35173,6,20,0.0,0,0,0.0,0,0,Normal Traffic
53,30698,2,94,47,47,47.0,0.0,113,113,113.0,0.0,10424.13187,130.3016483,10232.66667,17677.61354,30645,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,64,64,65.15082416,65.15082416,47,113,73.4,36.1496888,1306.8,0,0,0,91.75,94,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,95353,3,26,20,0,8.666666667,10.26320288,2920,0,1657.285714,1299.172136,121936.3838,104.8734702,10594.77778,28148.57838,85182,12,9834,4917.0,6815.095157,9736,98,95258,15876.33333,34173.44066,85182,12,72,152,31.46204105,73.41142911,0,2920,1057.0,1306.290856,1706395.8,0,1,0,1162.7,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
123,94260,1,48,48,48,48.0,0.0,48,48,48.0,0.0,1018.45958,21.21790791,94260.0,0.0,94260,94260,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,10.60895396,10.60895396,48,48,48.0,0.0,0.0,0,0,0,72.0,48,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,59637,1,44,44,44,44.0,0.0,108,108,108.0,0.0,2548.753291,33.53622751,59637.0,0.0,59637,59637,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,16.76811375,16.76811375,44,108,65.33333333,36.95041723,1365.333333,0,0,0,98.0,44,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,989,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4044.489383,329.6666667,567.5361956,985,1,989,329.6666667,567.5361956,985,1,0,0.0,0.0,0,0,128,0,4044.489383,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0,DoS
443,117973234,22,1388,477,0,63.09090909,115.3276529,1418,0,253.5238095,442.3538876,56.89426129,0.364489457,2808886.524,12600000.0,58900000,1,118000000,5617773.048,17600000.0,58900000,4,118000000,5896839.65,18000000.0,59000000,1,724,680,0.186482978,0.178006479,0,1418,152.5454545,327.2967116,107123.1374,0,1,0,156.0930233,1388,29200,365,10,32,537092.0,996666,77518,58400000.0,58900000,57900000,Normal Traffic
53,23416,1,57,57,57,57.0,0.0,118,118,118.0,0.0,7473.522378,85.41168432,23416.0,0.0,23416,23416,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,42.70584216,42.70584216,57,118,77.33333333,35.21836642,1240.333333,0,0,0,116.0,57,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,241,2,64,32,32,32.0,0.0,79,79,79.0,0.0,921161.8257,16597.51037,80.33333333,98.79946019,191,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,64,64,8298.755187,8298.755187,32,79,50.8,25.7429602,662.7,0,0,0,63.5,64,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
22,12608701,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,376.9619091,4.203446493,242475.0192,655917.4771,2281423,4,10300000,514278.25,904807.4734,2311594,572,12600000,406728.1935,813907.6552,2281423,4,680,1032,1.665516535,2.537929958,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0,Brute Force
7402,64,2,4,2,2,2.0,0.0,6,6,6.0,0.0,250000.0,62500.0,21.33333333,24.82606158,49,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,48,40,31250.0,31250.0,2,6,3.6,2.19089023,4.8,0,1,0,4.5,4,1024,0,1,24,0.0,0,0,0.0,0,0,Normal Traffic
56288,3,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,340,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,173,2,106,53,53,53.0,0.0,101,101,101.0,0.0,1780346.821,23121.38728,57.66666667,93.82075108,166,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,64,64,11560.69364,11560.69364,53,101,72.2,26.29068276,691.2,0,0,0,90.25,106,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
34156,110,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18181.8181818182,110.0,0.0,110,110,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,9090.9090909091,9090.9090909091,0,0,0.0,0.0,0.0,0,0,1,0.0,0,135,953,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,86233501,2,91,47,44,45.5,2.121320344,143,60,101.5,58.68986284,3.409347836,0.046385685,28700000.0,49700000.0,86100000,37600,86200000,86200000.0,0.0,86200000,86200000,86200000,86200000.0,0.0,86200000,86200000,60,40,0.023192842,0.023192842,44,143,67.6,42.66497392,1820.3,0,0,0,84.5,91,-1,-1,1,20,37600.0,37600,37600,86100000.0,86100000,86100000,Normal Traffic
443,5368144,9,348,191,0,38.66666667,70.58859681,1839,0,998.6,814.8440342,994.9435038,2.607977729,412934.1538,1447302.229,5229582,3,5368144,671018.0,1842086.995,5229582,3,65960,16490.0,19000.99204,35456,50,296,168,1.676557112,0.931420618,0,1839,356.0666667,643.2872572,413818.4952,0,1,0,381.5,348,29200,59,3,32,138559.0,138559,138559,5229582.0,5229582,5229582,Normal Traffic
80,99056785,8,676,335,0,84.5,154.6258156,8688,0,1932.5,3384.303045,123.87844,0.141333075,7619752.692,27400000.0,98700000,2,98900000,14100000.0,37300000.0,98700000,2,352561,70512.2,100459.5437,216089,48,252,200,0.080761757,0.060571318,0,8688,818.0666667,2233.844587,4990061.638,0,0,1,876.5,676,251,235,3,20,962.0,962,962,98700000.0,98700000,98700000,DoS
80,6135877,4,24,6,6,6.0,0.0,0,0,0.0,0.0,3.911421301,0.65190355,2045292.333,3542545.908,6135872,1,6135877,2045292.333,3542545.908,6135872,1,0,0.0,0.0,0,0,80,0,0.65190355,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,5.0,5,5,6135872.0,6135872,6135872,DDoS
80,5572508,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.717809647,1857502.667,3173378.206,5521687,31,5572508,2786254.0,3868486.448,5521687,50821,0,0.0,0.0,0,0,104,40,0.538357235,0.179452412,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,26847,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,30699,1,56,56,56,56.0,0.0,122,122,122.0,0.0,5798.2344701782,65.1487019121,30699.0,0.0,30699,30699,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,32.5743509561,32.5743509561,56,122,78.0,38.1051177665,1452.0,0,0,0,117.0,56,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,31167,3,121,115,0,40.33333333,64.73278407,7,0,4.75,3.201562119,4491.930568,224.5965284,5194.5,7663.0592,15088,3,15668,7834.0,10500.5357,15259,409,16084,5361.333333,8932.460934,15673,3,84,92,96.25565502,128.3408734,0,115,17.5,39.51853092,1561.714286,0,1,0,20.0,121,65535,29,2,20,0.0,0,0,0.0,0,0,Normal Traffic
53,367,2,96,48,48,48.0,0.0,90,90,90.0,0.0,752043.596730245,10899.1825613079,122.3333333333,204.9593455623,359,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,64,64,5449.591280654,5449.591280654,48,90,64.8,23.0043474152,529.2,0,0,0,81.0,96,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,30686,1,52,52,52,52.0,0.0,68,68,68.0,0.0,3910.578114,65.1763019,30686.0,0.0,30686,30686,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,32.58815095,32.58815095,52,68,57.33333333,9.237604307,85.33333333,0,0,0,86.0,52,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
